,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
900,Cagliari Calcio,36.0,24.1,6.0,1.27,45.68,9,38,-1,53,2008
901,AC Siena,40.0,25.1,17.0,1.13,45.3,14,38,-11,44,2008
902,Bologna FC 1909,34.0,28.3,7.0,1.19,40.3,17,38,-19,37,2008
903,Chievo Verona,38.0,27.1,11.0,1.01,38.25,16,38,-14,38,2008
904,Reggina Calcio,42.0,24.3,13.0,0.854,35.85,19,38,-32,31,2008
905,Inter Milan,41.0,25.2,22.0,16.19,663.9,1,38,54,91,2020
906,Juventus FC,45.0,24.7,26.0,14.07,633.3,4,38,39,78,2020
907,AC Milan,42.0,23.9,27.0,13.04,547.78,2,38,33,79,2020
908,SSC Napoli,32.0,26.0,21.0,16.57,530.2,5,38,45,77,2020
909,Atalanta BC,39.0,25.0,21.0,11.03,430.0,3,38,43,78,2020
910,AS Roma,46.0,24.6,28.0,8.6,395.65,7,38,10,62,2020
911,SS Lazio,44.0,25.6,32.0,7.42,326.33,6,38,6,68,2020
912,ACF Fiorentina,41.0,25.7,24.0,7.0,286.8,13,38,-12,40,2020
913,US Sassuolo,39.0,24.9,18.0,6.2,241.74,8,38,8,62,2020
914,Cagliari Calcio,42.0,25.4,19.0,4.47,187.83,16,38,-16,37,2020
915,Torino FC,40.0,25.4,22.0,4.38,175.28,17,38,-19,37,2020
916,Udinese Calcio,42.0,25.8,30.0,4.12,173.0,14,38,-16,40,2020
917,Hellas Verona,46.0,24.2,20.0,3.42,157.21,10,38,-2,45,2020
918,Bologna FC 1909,45.0,24.1,28.0,3.41,153.6,12,38,-14,41,2020
919,Parma Calcio 1913,53.0,25.1,30.0,2.43,128.7,20,38,-44,20,2020
920,UC Sampdoria,34.0,26.4,18.0,3.74,127.18,9,38,-2,52,2020
921,Genoa CFC,44.0,26.5,23.0,2.54,111.93,11,38,-11,42,2020
922,Spezia Calcio,39.0,25.7,17.0,1.84,71.68,15,38,-20,39,2020
923,FC Crotone,41.0,26.0,19.0,1.29,52.75,19,38,-47,23,2020
924,Benevento Calcio,36.0,27.4,14.0,1.39,50.13,18,38,-35,33,2020
925,Torino Calcio,32.0,23.5,5.0,,,16,34,-18,29,1995
926,Vicenza Calcio,25.0,24.9,3.0,,,9,34,-1,49,1995
927,Milan AC,30.0,26.9,6.0,,,1,34,36,73,1995
928,Calcio Padova,31.0,24.8,4.0,,,18,34,-38,24,1995
929,AS Roma,28.0,25.3,6.0,,,5,34,17,58,1995
930,Juventus FC,28.0,25.7,4.0,,,2,34,23,65,1995
931,SSC Napoli,26.0,24.9,3.0,,,12,34,-13,41,1995
932,FC Internazionale,30.0,25.3,5.0,,,7,34,21,54,1995
933,Atalanta BC,28.0,25.4,4.0,,,13,34,-12,39,1995
934,UC Sampdoria,28.0,25.4,3.0,,,8,34,12,52,1995
935,AS Bari,28.0,24.6,5.0,,,15,34,-22,32,1995
936,Cagliari Calcio,28.0,25.2,3.0,,,10,34,-13,41,1995
937,SS Lazio,28.0,25.1,3.0,,,3,34,28,59,1995
938,Piacenza FC,25.0,24.4,0.0,,,14,34,-17,37,1995
939,Udinese Calcio,30.0,25.4,5.0,,,11,34,-8,41,1995
940,US Cremonese,29.0,25.4,3.0,,,17,34,-20,27,1995
941,AC Parma,29.0,26.7,5.0,,,6,34,13,58,1995
